Phase,Activity,Type,Category,Total,Correct,Wrong,% Correct,% Wrong,Avg Time,Next Low,Next Moderate,Next High
Hypothesis,Explanation of Activity 5a,Explanation,Low,83,,,0.0,0.0,11.0,Activity 5b,Activity 5b,Activity 5b
Hypothesis,Explanation of Activity 5b,Explanation,High,2,,,0.0,0.0,9.5,Experiment 1,Experiment 1,Experiment 1
Hypothesis,Explanation of Activity 5b,Explanation,Moderate,0,,,,,,Experiment 1,Experiment 1,Experiment 1
Hypothesis,Explanation of Activity 5b,Explanation,Low,108,,,0.0,0.0,8.8,Experiment 1,Experiment 1,Experiment 1
Experiment,Experiment 1,Experiment,High,191,,,0.0,0.0,173.0,Activity 6,Activity 6,Activity 6
Experiment,Experiment 1,Experiment,Moderate,251,,,0.0,0.0,135.6,Activity 6,Activity 6,Activity 6
Experiment,Experiment 1,Experiment,Low,124,,,0.0,0.0,129.0,Activity 6,Activity 6,Activity 6
Experiment,Activity 6,Question,High,204,94,110,46.1,53.9,39.7,Experiment after Activity 6 - 2,Experiment after Activity 6 - 1,Experiment 2
Experiment,Activity 6,Question,Moderate,304,117,187,38.5,61.5,33.4,Experiment after Activity 6 - 2,Experiment after Activity 6 - 1,Experiment 2
Experiment,Activity 6,Question,Low,142,0,142,0.0,100.0,33.1,Experiment after Activity 6 - 2,Experiment after Activity 6 - 1,Experiment 2
Experiment,Experiment after Activity 6 - 1,Experiment,High,95,,,0.0,0.0,66.7,Experiment 2,Experiment 2,Experiment 2
Experiment,Experiment after Activity 6 - 1,Experiment,Moderate,79,,,0.0,0.0,29.5,Experiment 2,Experiment 2,Experiment 2
Experiment,Experiment after Activity 6 - 1,Experiment,Low,9,,,0.0,0.0,56.3,Experiment 2,Experiment 2,Experiment 2
Experiment,Experiment after Activity 6 - 2,Experiment,High,3,,,0.0,0.0,21.3,Experiment 2,Experiment 2,Experiment 2
Experiment,Experiment after Activity 6 - 2,Experiment,Moderate,63,,,0.0,0.0,85.4,Experiment 2,Experiment 2,Experiment 2
Experiment,Experiment after Activity 6 - 2,Experiment,Low,92,,,0.0,0.0,42.5,Experiment 2,Experiment 2,Experiment 2
Experiment,Experiment 2,Experiment,High,191,,,0.0,0.0,71.4,Activity 7,Activity 7,Activity 7
Experiment,Experiment 2,Experiment,Moderate,240,,,0.0,0.0,56.8,Activity 7,Activity 7,Activity 7
Experiment,Experiment 2,Experiment,Low,102,,,0.0,0.0,43.5,Activity 7,Activity 7,Activity 7
Experiment,Activity 7,Question,High,204,204,0,100.0,0.0,25.7,Experiment after Activity 7,Explanation of Activity 7,Activity 8
Experiment,Activity 7,Question,Moderate,289,71,218,24.6,75.4,22.4,Experiment after Activity 7,Explanation of Activity 7,Activity 8
Experiment,Activity 7,Question,Low,115,0,115,0.0,100.0,24.2,Experiment after Activity 7,Explanation of Activity 7,Activity 8
Experiment,Experiment after Activity 7,Experiment,High,4,,,0.0,0.0,75.2,Activity 8,Activity 8,Activity 8
Experiment,Experiment after Activity 7,Experiment,Moderate,169,,,0.0,0.0,26.1,Activity 8,Activity 8,Activity 8
Experiment,Experiment after Activity 7,Experiment,Low,94,,,0.0,0.0,27.3,Activity 8,Activity 8,Activity 8
Experiment,Explanation of Activity 7,Explanation,High,0,,,,,,Activity 8,Activity 8,Activity 8
Experiment,Explanation of Activity 7,Explanation,Moderate,3,,,0.0,0.0,5.7,Activity 8,Activity 8,Activity 8
Experiment,Explanation of Activity 7,Explanation,Low,0,,,,,,Activity 8,Activity 8,Activity 8
Αναστοχασμός,Activity 8,Question,High,194,75,119,38.7,61.3,37.5,Activity 9,Activity 9,Activity 9
Αναστοχασμός,Activity 8,Question,Moderate,262,74,188,28.2,71.8,30.4,Activity 9,Activity 9,Activity 9
Αναστοχασμός,Activity 8,Question,Low,80,21,59,26.2,73.8,28.7,Activity 9,Activity 9,Activity 9
Αναστοχασμός,Activity 9,Experiment,High,194,,,0.0,0.0,97.3,Period dependence on mass,Period dependence on mass,Period dependence on mass
Αναστοχασμός,Activity 9,Experiment,Moderate,262,,,0.0,0.0,37.0,Period dependence on mass,Period dependence on mass,Period dependence on mass
Αναστοχασμός,Activity 9,Experiment,Low,68,,,0.0,0.0,50.2,Period dependence on mass,Period dependence on mass,Period dependence on mass
Αναστοχασμός,Activity 10,Question,High,194,152,42,78.4,21.6,26.5,Explanation of Activity 10,Explanation of Activity 10,Activity 11
Αναστοχασμός,Activity 10,Question,Moderate,285,158,127,55.4,44.6,22.6,Explanation of Activity 10,Explanation of Activity 10,Activity 11
Αναστοχασμός,Activity 10,Question,Low,89,17,72,19.1,80.9,19.2,Explanation of Activity 10,Explanation of Activity 10,Activity 11
Αναστοχασμός,Activity 11,Question,High,194,194,0,100.0,0.0,21.2,Explanation of Activity 11,Explanation of Activity 11,Explanation of Activity 11
Αναστοχασμός,Activity 11,Question,Moderate,283,138,145,48.8,51.2,19.1,Explanation of Activity 11,Explanation of Activity 11,Explanation of Activity 11
Αναστοχασμός,Activity 11,Question,Low,83,12,71,14.5,85.5,17.5,Explanation of Activity 11,Explanation of Activity 11,Explanation of Activity 11
Αναστοχασμός,Explanation of Activity 9,Explanation,High,1,,,0.0,0.0,9.0,Activity 10,Activity 10,Activity 10
Αναστοχασμός,Explanation of Activity 9,Explanation,Moderate,103,,,0.0,0.0,12.1,Activity 10,Activity 10,Activity 10
Αναστοχασμός,Explanation of Activity 9,Explanation,Low,36,,,0.0,0.0,16.1,Activity 10,Activity 10,Activity 10
Αναστοχασμός,Explanation of Activity 10,Explanation,High,45,,,0.0,0.0,9.0,Activity 11,Activity 11,Activity 11
Αναστοχασμός,Explanation of Activity 10,Explanation,Moderate,110,,,0.0,0.0,10.1,Activity 11,Activity 11,Activity 11
Αναστοχασμός,Explanation of Activity 10,Explanation,Low,30,,,0.0,0.0,7.6,Activity 11,Activity 11,Activity 11
Αναστοχασμός,Explanation of Activity 11,Explanation,High,190,,,0.0,0.0,13.7,,,
Αναστοχασμός,Explanation of Activity 11,Explanation,Moderate,250,,,0.0,0.0,10.8,,,
Αναστοχασμός,Explanation of Activity 11,Explanation,Low,34,,,0.0,0.0,8.2,,,
Αναστοχασμός,Period dependence on mass,Question,High,194,194,0,100.0,0.0,21.7,Explanation of Activity 9,Explanation of Activity 9,Activity 10
Αναστοχασμός,Period dependence on mass,Question,Moderate,255,153,102,60.0,40.0,17.6,Explanation of Activity 9,Explanation of Activity 9,Activity 10
Αναστοχασμός,Period dependence on mass,Question,Low,51,8,43,15.7,84.3,17.7,Explanation of Activity 9,Explanation of Activity 9,Activity 10
